Prospect ID,Lead Source,Converted,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Country,Specialization,How did you hear about X Education,What is your current occupation,What matters most to you in choosing a course,Tags,Lead Quality,Lead Profile,Asymmetrique Activity Index,Asymmetrique Profile Index,Asymmetrique Activity Score,Asymmetrique Profile Score
eecf3981-028f-4a83-9801-afa36545a53c,Google,0,2,767,2,Email Opened,India,Select,Select,Unemployed,Better Career Prospects,Already a student,Worst,Student of SomeSchool,02.Medium,02.Medium,15,14
80182a5a-1a04-49db-acc7-0a3bbea6b88b,Google,0,4,1638,4,Email Opened,India,Finance Management,Select,Unemployed,Better Career Prospects,Ringing,Not Sure,Select,03.Low,01.High,12,18
adc01aa8-ee1b-4fc2-9cc7-bf29117241b0,Google,0,1,263,1,Converted to Lead,India,Select,Select,Unemployed,Better Career Prospects,Interested in other courses,Not Sure,Other Leads,02.Medium,02.Medium,14,14
73413bd6-e089-4b8f-9359-ad5825101790,Google,1,5,1091,5,Unreachable,India,Finance Management,Online Search,Unemployed,Better Career Prospects,Will revert after reading the email,High in Relevance,Potential Lead,02.Medium,01.High,13,20
4cc6f35b-bba3-4e7a-90fa-a2a1764a10bb,Google,1,5,1603,5,Email Opened,India,Operations Management,Online Search,Unemployed,Better Career Prospects,Will revert after reading the email,High in Relevance,Potential Lead,02.Medium,01.High,14,20
2bfbd79b-c942-4c0f-bed9-704ccf4f4c8e,Google,0,2,73,2,Unreachable,India,Select,Select,Unemployed,Better Career Prospects,switched off,Not Sure,Select,03.Low,02.Medium,12,15
08424302-ffe0-4c2d-be4f-d099f75a3eb5,Google,0,5,232,2.5,Email Opened,India,Human Resource Management,Online Search,Unemployed,Better Career Prospects,Interested in other courses,Might be,Other Leads,02.Medium,02.Medium,13,16
2e314eed-ab56-4594-b12f-2402b355eca6,Organic Search,1,5,614,5,Unreachable,India,Finance Management,Select,Unemployed,Better Career Prospects,Will revert after reading the email,Low in Relevance,Potential Lead,02.Medium,01.High,15,19
e210e543-584e-42a1-a5ed-7011ced14ef8,Direct Traffic,0,2,234,1,Email Bounced,India,Finance Management,Select,Unemployed,Better Career Prospects,invalid number,Not Sure,Select,02.Medium,01.High,15,18
95ba6ee3-ebfa-4e88-be00-059e87ec079b,Direct Traffic,0,3,245,3,Unreachable,India,Finance Management,Select,Unemployed,Better Career Prospects,Ringing,Might be,Select,02.Medium,01.High,13,17
2d09fce2-eab7-4d6a-b668-eb739cfc5d2d,Direct Traffic,1,3,1010,3,Email Opened,India,Supply Chain Management,Select,Unemployed,Better Career Prospects,Will revert after reading the email,Might be,Select,02.Medium,02.Medium,15,16
0921ad51-b2bc-4abb-bb66-e9357b16c306,Olark Chat,1,10,1815,3.33,Had a Phone Conversation,India,Operations Management,Select,Unemployed,Better Career Prospects,Will revert after reading the email,High in Relevance,Potential Lead,02.Medium,01.High,15,17
6402d606-839e-4fbd-b1c1-b50a433814c1,Direct Traffic,1,3,1528,1.5,Email Opened,India,Operations Management,Select,Unemployed,Better Career Prospects,Will revert after reading the email,Might be,Select,02.Medium,02.Medium,14,16
a732de28-542e-48c4-abe1-af4067853627,Google,1,6,919,6,Email Opened,India,Finance Management,Online Search,Unemployed,Better Career Prospects,Will revert after reading the email,High in Relevance,Potential Lead,02.Medium,01.High,14,20
516cef54-19f1-4f7a-93ae-bc739f870903,Google,0,2,351,2,Email Opened,India,Select,Select,Unemployed,Better Career Prospects,Ringing,Might be,Select,02.Medium,02.Medium,13,15
31479eef-bdb8-45d9-a394-8134ed57256b,Direct Traffic,0,3,381,1.5,Page Visited on Website,India,Operations Management,Select,Unemployed,Better Career Prospects,Ringing,Not Sure,Select,02.Medium,01.High,13,17
ced562dd-a390-4369-b233-04313cc5fa90,Google,0,5,65,5,Unreachable,India,Human Resource Management,Online Search,Unemployed,Better Career Prospects,Ringing,Might be,Select,02.Medium,01.High,13,17
850fe660-b18e-4ea0-80bf-54f16ffe018a,Organic Search,1,8,877,2.67,Email Link Clicked,India,"Banking, Investment And Insurance",Select,Unemployed,Better Career Prospects,Will revert after reading the email,Might be,Potential Lead,02.Medium,02.Medium,14,16
d7e939fb-2e60-4293-a0c8-d0202db10096,Organic Search,1,12,1411,6,Email Opened,India,Finance Management,Select,Unemployed,Better Career Prospects,Will revert after reading the email,Might be,Select,01.High,02.Medium,16,16
97874d2b-8b23-4b0d-9bb8-0a0494792743,Organic Search,1,6,385,6,Converted to Lead,India,Select,Select,Unemployed,Better Career Prospects,Will revert after reading the email,Low in Relevance,Potential Lead,02.Medium,02.Medium,15,16
a996259c-fab6-4fb6-bf41-7c68fbb22114,Organic Search,1,5,1234,1.67,Email Opened,India,International Business,Select,Student,Better Career Prospects,Will revert after reading the email,Low in Relevance,Potential Lead,01.High,01.High,16,17
c693a352-3702-4165-a1f9-fa96a34c9bf3,Organic Search,0,8,14,8,Olark Chat Conversation,India,Select,Select,Unemployed,Better Career Prospects,switched off,Worst,Select,02.Medium,02.Medium,15,15
fad4be87-d418-4746-b951-cd405a98b631,Organic Search,0,5,358,5,Page Visited on Website,United Arab Emirates,Select,Select,Unemployed,Better Career Prospects,Busy,Not Sure,Select,02.Medium,02.Medium,15,15
c800a9c6-9f91-42f4-88e7-c4f9023d6f88,Direct Traffic,1,1,1106,1,Converted to Lead,India,Finance Management,Select,Unemployed,Better Career Prospects,Will revert after reading the email,Might be,Select,02.Medium,02.Medium,15,16
f942f0fe-55e2-4e23-bae8-346c55278fb0,Direct Traffic,1,9,1953,1.8,Email Opened,India,Supply Chain Management,Online Search,Unemployed,Better Career Prospects,Will revert after reading the email,Might be,Select,02.Medium,01.High,15,17
82b11e37-cba7-4757-bd73-0cfa33665dba,Direct Traffic,1,2,1587,2,Email Opened,India,E-COMMERCE,Multiple Sources,Unemployed,Better Career Prospects,Will revert after reading the email,Might be,Select,02.Medium,02.Medium,14,13
603532ad-117d-436a-82c3-cca41f4c8470,Direct Traffic,1,2,1509,2,Email Opened,India,E-Business,Select,Unemployed,Better Career Prospects,Lost to EINS,Worst,Select,03.Low,01.High,10,18
ea973fef-e4bc-4286-ac5c-84de3a780850,Organic Search,0,4,331,4,Unreachable,India,Select,Select,Unemployed,Better Career Prospects,switched off,Might be,Select,03.Low,02.Medium,12,15
9fb9f131-2b4d-42c2-83b7-0575da86974b,Organic Search,1,3,1407,1.5,Converted to Lead,India,Human Resource Management,Select,Unemployed,Better Career Prospects,Will revert after reading the email,Might be,Select,02.Medium,02.Medium,15,15
0e3d5534-5cee-4977-a3ec-871a1077bdba,Google,0,1,123,1,Converted to Lead,India,Select,Email,Unemployed,Better Career Prospects,Interested  in full time MBA,Might be,Other Leads,02.Medium,02.Medium,14,13
038dc19c-b7ea-4cc3-a95b-9a13e477c4b1,Direct Traffic,1,9,1164,4.5,Email Opened,India,Healthcare Management,Select,Unemployed,Better Career Prospects,Will revert after reading the email,Might be,Select,01.High,02.Medium,16,15
a18c6be1-8a7b-4ed1-b1c2-bdd2de83bcc5,Direct Traffic,1,1,1362,1,Unreachable,India,Rural and Agribusiness,Online Search,Unemployed,Better Career Prospects,Will revert after reading the email,Might be,Select,02.Medium,02.Medium,14,14
80ffbb0e-a3e7-4afe-905d-0172fdd48a15,Direct Traffic,0,7,74,2.33,Unreachable,India,Finance Management,Multiple Sources,Unemployed,Better Career Prospects,Ringing,Not Sure,Select,02.Medium,01.High,13,18
2c165c73-6832-4e15-ada3-e91b1c44b9bd,Organic Search,0,13,54,6.5,Email Opened,India,Select,Select,Unemployed,Better Career Prospects,Ringing,Not Sure,Select,02.Medium,02.Medium,15,15
c6afd99a-116a-403c-8f23-7022e2836891,Direct Traffic,0,3,66,3,Email Opened,India,IT Projects Management,Select,Unemployed,Better Career Prospects,switched off,Not Sure,Other Leads,02.Medium,02.Medium,14,14
683f89b7-cf5c-48e5-8761-d64d103ca63a,Organic Search,0,6,135,6,Email Opened,India,Supply Chain Management,Select,Unemployed,Better Career Prospects,Will revert after reading the email,Might be,Select,02.Medium,01.High,14,18
9a6688f4-798f-4efc-96f7-dddd677263d3,Organic Search,0,12,28,6,Email Opened,India,International Business,Select,Unemployed,Better Career Prospects,Interested in other courses,Might be,Select,02.Medium,02.Medium,14,16
e0c1f7c8-b696-4d97-ae42-d3974bccdcb4,Direct Traffic,1,7,116,7,Email Opened,India,Human Resource Management,Select,Unemployed,Better Career Prospects,Will revert after reading the email,Low in Relevance,Select,02.Medium,01.High,15,18
4416c20d-11b7-4e8c-b4c9-7b27dd0f94f1,Direct Traffic,0,2,1054,2,Email Opened,India,Human Resource Management,Select,Unemployed,Better Career Prospects,Ringing,Not Sure,Select,02.Medium,01.High,14,18
dbf6d8a7-eab9-4f92-96d3-f5005db1fa42,Organic Search,1,3,195,3,Converted to Lead,India,Operations Management,Select,Unemployed,Better Career Prospects,Will revert after reading the email,Might be,Select,02.Medium,02.Medium,15,15
eff492d9-4b36-445a-9f55-b68fe533d3e5,Google,1,3,732,3,Email Opened,India,Operations Management,Online Search,Working Professional,Better Career Prospects,Will revert after reading the email,Might be,Select,02.Medium,01.High,14,17
daa67295-da02-4a6e-ad57-37533c13cecd,Organic Search,0,13,594,4.33,Had a Phone Conversation,India,Select,Select,Unemployed,Better Career Prospects,Ringing,Not Sure,Select,02.Medium,02.Medium,13,15
e15342a3-ca98-4401-8a76-a7ff920546c7,Referral Sites,0,14,354,14,Unreachable,India,Select,Select,Unemployed,Better Career Prospects,Ringing,Might be,Select,02.Medium,02.Medium,14,13
d22d10d8-5ce1-4014-8d29-08fec7c8658e,Google,0,3,217,3,Unreachable,India,Select,Select,Unemployed,Better Career Prospects,Ringing,Might be,Select,02.Medium,02.Medium,13,15
41bed798-480f-4714-822b-5d5d6a93ea6e,Direct Traffic,1,5,1837,2.5,Email Opened,India,Finance Management,Select,Unemployed,Better Career Prospects,Will revert after reading the email,High in Relevance,Potential Lead,02.Medium,01.High,14,17
cc487e97-dc1e-426a-99bf-bf751a7dd740,Direct Traffic,0,1,1226,1,Converted to Lead,India,Human Resource Management,Select,Unemployed,Better Career Prospects,switched off,Not Sure,Select,02.Medium,01.High,14,17
0dcca9d7-5c32-442c-b115-d13465015b6d,Referral Sites,1,11,825,11,Olark Chat Conversation,India,Finance Management,Select,Working Professional,Better Career Prospects,Will revert after reading the email,Low in Relevance,Potential Lead,01.High,02.Medium,17,15
a7cfe398-727f-4d16-9dda-02b3e35e8eb0,Google,0,5,294,2.5,Email Opened,India,Healthcare Management,Word Of Mouth,Unemployed,Better Career Prospects,switched off,Not Sure,Select,03.Low,02.Medium,12,15
2f4e048a-af10-42a8-a895-f3de17ecfaec,Google,1,4,228,4,Email Opened,India,"Banking, Investment And Insurance",Word Of Mouth,Unemployed,Better Career Prospects,Will revert after reading the email,Low in Relevance,Potential Lead,02.Medium,01.High,14,19
988b81fb-a186-4163-8513-2f187adaf678,Referral Sites,0,17,71,3.4,Unreachable,India,Select,Online Search,Unemployed,Better Career Prospects,Ringing,Might be,Select,02.Medium,02.Medium,13,16
65a06b69-76c5-41f6-9fc1-47d7871721dc,Google,0,8,43,8,Olark Chat Conversation,India,Human Resource Management,Online Search,Unemployed,Better Career Prospects,Interested  in full time MBA,Might be,Other Leads,02.Medium,01.High,15,18
9dd9a91b-c030-4766-9839-400601696e09,Google,0,4,294,4,Email Opened,India,E-Business,Online Search,Unemployed,Better Career Prospects,Interested in other courses,Not Sure,Select,02.Medium,01.High,13,18
e3cd2172-9187-46a2-9414-45e4af314c63,Referral Sites,0,1,213,1,Converted to Lead,India,Select,Select,Unemployed,Better Career Prospects,Interested in other courses,Not Sure,Other Leads,02.Medium,02.Medium,14,13
d9ed7525-5cf0-45ba-87c2-ca2bca521874,Organic Search,1,4,31,1.33,Email Opened,India,Operations Management,Select,Working Professional,Better Career Prospects,Will revert after reading the email,Might be,Potential Lead,02.Medium,01.High,15,18
144f76c0-2a6b-4590-99ec-39e36e9d55d9,Direct Traffic,1,2,526,2,Form Submitted on Website,United States,Human Resource Management,Select,Unemployed,Better Career Prospects,Will revert after reading the email,Not Sure,Potential Lead,02.Medium,01.High,14,18
bbcfddcc-1bc8-4c30-b036-9782b3526f7c,Direct Traffic,0,4,174,4,Email Opened,India,Human Resource Management,Student of SomeSchool,Unemployed,Better Career Prospects,Ringing,Not Sure,Select,02.Medium,01.High,13,18
74a3ad16-d561-401c-a0f2-53867b481bf6,Organic Search,0,4,12,4,Page Visited on Website,India,"Banking, Investment And Insurance",Select,Unemployed,Better Career Prospects,Ringing,Might be,Select,02.Medium,02.Medium,14,16
064154e9-6e99-47fc-aa0c-c24462169fcf,Google,1,4,595,4,Page Visited on Website,India,"Banking, Investment And Insurance",Online Search,Unemployed,Better Career Prospects,Will revert after reading the email,Not Sure,Select,02.Medium,01.High,15,17
e39a98aa-32f7-4b8c-a4bc-f88474e6945c,Google,0,11,1189,11,Email Opened,India,Human Resource Management,Online Search,Unemployed,Better Career Prospects,Ringing,Not Sure,Select,02.Medium,01.High,15,18
3e8f18de-294c-4765-8ac5-b3035299fb07,Google,0,5,73,5,Email Opened,India,IT Projects Management,Online Search,Unemployed,Better Career Prospects,Ringing,Might be,Select,02.Medium,02.Medium,14,15
ce80e8fa-008e-48d3-b5db-f5a110129305,Direct Traffic,0,3,491,3,Email Opened,India,E-Business,Select,Working Professional,Better Career Prospects,Interested in other courses,Low in Relevance,Potential Lead,02.Medium,01.High,14,20
78b1f3e6-2490-4536-9976-feecd3201bbd,Google,1,7,1281,1.75,Email Bounced,India,Select,Select,Unemployed,Better Career Prospects,Will revert after reading the email,Might be,Select,02.Medium,02.Medium,15,15
3ae390c4-9cc1-4908-b301-ab66cdbc0959,Organic Search,1,3,117,3,Olark Chat Conversation,India,Select,Select,Unemployed,Better Career Prospects,Will revert after reading the email,Might be,Select,02.Medium,02.Medium,15,15
2dd8dc62-7e5b-48d4-a34e-c176ed0f0f02,Google,1,5,263,2.5,Email Opened,India,Marketing Management,Online Search,Unemployed,Better Career Prospects,Will revert after reading the email,Might be,Select,01.High,01.High,16,18
b4372d6d-0072-42ee-94fd-a0723c257b64,Google,0,4,67,4,Page Visited on Website,India,"Banking, Investment And Insurance",Online Search,Unemployed,Better Career Prospects,Ringing,Not Sure,Select,02.Medium,01.High,15,18
89604a7c-c70e-4ce7-9341-f982ed4b83de,Organic Search,0,6,419,6,Unreachable,India,Supply Chain Management,Select,Unemployed,Better Career Prospects,switched off,Not Sure,Select,02.Medium,01.High,13,18
55c7a6d7-5fbc-445a-a853-a86ac1fd9b30,Google,0,3,199,3,Form Submitted on Website,India,Human Resource Management,Other,Unemployed,Better Career Prospects,Graduation in progress,Might be,Select,03.Low,01.High,9,18
97a7ab58-d7ce-4686-ab2f-ca95f327ea4b,Google,1,10,556,5,Olark Chat Conversation,India,Finance Management,Multiple Sources,Unemployed,Better Career Prospects,Will revert after reading the email,Might be,Select,01.High,02.Medium,16,16
352e5985-f3f2-4188-943c-332ca95e8d09,Referral Sites,1,5,1536,5,Email Opened,India,Human Resource Management,Select,Working Professional,Better Career Prospects,Will revert after reading the email,Low in Relevance,Potential Lead,02.Medium,02.Medium,14,15
292178c7-d5fa-4a05-9b94-d0189dfc75d9,Google,1,4,1088,4,Page Visited on Website,India,Supply Chain Management,Word Of Mouth,Working Professional,Better Career Prospects,Will revert after reading the email,High in Relevance,Potential Lead,01.High,01.High,16,18
dde267d0-e06d-4eb8-a6ab-f667e6ed602a,Referral Sites,1,6,863,6,Email Opened,India,Operations Management,Select,Unemployed,Better Career Prospects,Will revert after reading the email,Low in Relevance,Potential Lead,01.High,01.High,16,17
362badd1-befe-4dde-a3ab-84a9ff5a644a,Direct Traffic,0,6,209,3,Page Visited on Website,India,Healthcare Management,Select,Unemployed,Better Career Prospects,Ringing,Not Sure,Select,02.Medium,02.Medium,15,14
